protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G06000.1	0.205000271455998	0.823365911319178	-1.23303086559967	1.68464032418322	2.55963857225257	14.5228609882851	15.7392839557081	16.2520958665316
AT1G06130.1	0.544797458299022	0.895801605067968	-1.33680147625171	0.399829507697065	1.95793993992654	14.7170011873784	15.8522644488443	16.4061727690004
AT1G06290.1	0.717785796154995	0.904569349884252	-0.2737413815622	-0.2737413815622	-0.2737413815622	17.8037067356228	17.8037067356228	17.8037067356228
AT1G06400.1	0.59458676540616	0.895801605067968	-0.478864091785901	-0.478864091785901	-0.478864091785901	18.0222824293217	18.0222824293217	18.0222824293217
AT1G06410.1	0.337007446888432	0.875144185916349	-1.45710195523557	-0.760638561797236	-0.494257598587106	16.5595649538909	16.9077966506101	17.0409871322152
AT1G06430.1	0.586675980839915	0.895801605067968	-1.49725254688479	0.232779151670331	2.01778056420458	15.556413200772	16.531401681731	16.9652013919475
AT1G06570.1	0.473365818183134	0.895801605067968	0.267644496436433	0.971197030779037	2.45473816250727	15.3526183316114	16.2892415159551	17.0552778189941
AT1G06650.2	0.00855877085432741	0.183307267035401	1.02863396775527	2.66504622171307	4.66790450146642	15.0652864124489	16.0667155523256	16.8849216793045
AT1G06670.1	0.0681287929767948	0.603960530470342	-6.00550972198848	-4.13843107699793	-2.5651863395925	16.1854356040795	17.0184479252505	17.8371373748215
AT1G06680.1	0.925138493481878	0.971396846662685	-0.0970977227199591	-0.0970977227199591	-0.0970977227199591	24.1139972513539	24.1139972513539	24.1139972513539
AT1G06690.1	0.43283849974753	0.889994222765434	0.387715648871767	1.06645921724678	2.33430201480739	17.1200012417604	17.7539226405407	18.0932944247283
AT1G06760.1	0.151396472227071	0.798319654164547	-2.8599932647723	-2.00102713087601	-1.78886582546475	17.4146077884381	17.8440908553863	17.9501715080919
AT1G06890.1	0.191643731116431	0.815245159955537	-2.17732214367083	-0.953101451310656	0.747768597588403	14.7133088809672	15.2639594731095	16.1469821121867
AT1G06950.1	0.936581559870278	0.975495241300205	0.0571881118406895	0.0571881118406895	0.0571881118406895	18.83609767782	18.83609767782	18.83609767782
