protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G65280.1	0.77561307791651	0.814393731812336	-0.807770497491485	0.0726510655319009	0.652208089989172	14.7753624160124	15.2344362289922	15.512819566583
AT1G65440.1	0.232829285770793	0.604765208310834	-1.19412683598406	0.897939424520901	3.13833280785548	14.2945131715713	14.7600969294953	15.3490248258221
AT1G65590.1	0.364385392362204	0.650301805405598	-2.55471593693736	-1.06169756579703	-0.573255840812032	12.7539144601468	14.083447181686	16.1537772450751
AT1G65870.1	0.391181627708239	0.650301805405598	-0.508049715504427	1.32915509832204	2.23492526185179	15.1706055734264	15.8727273908133	16.3572418183932
AT1G66200.3	0.486338587238786	0.667214748221639	-2.27893406767665	-0.0224218217477736	0.889915759974538	15.1279663686241	15.2146022852896	16.052373029264
AT1G66260.1	0.577247763766356	0.702951583201673	-0.601764251592743	1.03388151105542	2.08844202821768	13.9580004866539	14.5828756566914	16.4344279009287
AT1G67090.1	0.050800659299568	0.452155753978892	-4.55215380144619	-3.57902875072559	-2.8818873289161	17.9593964536384	18.4459589789987	18.7945296899035
AT1G67230.1	0.555319724350989	0.695854188651587	-1.9071098344806	-0.399700861065162	0.672765286750493	14.8360884475953	15.0060545306817	15.2588300172209
AT1G67430.1	0.521942819728894	0.677252634379931	-0.863876405629614	-0.863876405629614	-0.863876405629614	19.2797593806397	19.2797593806397	19.2797593806397
AT1G67700.2	0.306009864555551	0.644316284737017	-0.936353945127585	1.71562038785032	2.35727622741527	12.5997770841968	14.3380267862097	15.0580677205456
AT1G68010.2	0.0891127206891002	0.483754769455116	-3.68635145303571	-2.47344970744175	-2.12596815470465	16.2429911034625	16.8494419762595	17.0231827526281
AT1G68560.1	0.390733478279828	0.650301805405598	1.16737383614801	1.16737383614801	1.16737383614801	18.4003284002784	18.4003284002784	18.4003284002784
AT1G69620.1	0.859523380398963	0.880487365286743	-0.802231418556877	-0.193312592073106	0.463128262082319	17.3386869132721	18.1671334986884	18.5966512212121
AT1G70180.2	0.380616007808063	0.650301805405598	-1.14399433147742	0.35876425639459	2.61353806199609	11.158498566712	13.6504740049933	15.1423315495315
AT1G70410.2	0.125566112800966	0.530557025019779	-4.15837582928112	-1.57533955837402	0.847643831330142	13.3840136277689	14.5233808649666	15.2522000931324
AT1G71695.1	0.33889885954584	0.650301805405598	-2.46999969847542	-1.49106947002146	-1.34397562931467	18.3320280945178	18.8214932087448	18.8950401290982
AT1G71800.1	0.426803890480045	0.657508696144934	-0.759377618600942	-0.225413898814665	1.88940070262197	13.7901551796851	14.4523637788837	14.8644037622032
AT1G72150.1	0.0508775075411521	0.452155753978892	-4.46177235465151	-1.85415170384488	-1.24212216123435	15.1893017990458	15.4487526681919	16.5145682651857
AT1G72370.1	0.0569619967461781	0.452155753978892	-4.86786344930972	-3.85062997488637	-2.23411723736225	17.2579470384585	17.7665637756701	18.5748201444322
AT1G73720.1	0.206475595894278	0.587581304673647	-0.934302388515141	1.21336566875423	2.76115261243303	13.9949974850834	14.4067540716134	14.8617878843451
AT1G73840.1	0.429072814994266	0.65973045542471	-0.223796264439748	-0.00187289326138318	2.30010102912334	13.6279286528838	13.8552011312191	15.1176672678854
