protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G09620.1	0	1	1	-0.0536079263159065	0.234488762883133	0.611048552994012	15.5170100402477	15.6695987126886	15.8592896971359
AT1G09640.1	0	1	1	0.368837048341852	0.398621189096692	0.424071876681732	17.9040741619158	17.9059488602614	17.9081482145899
AT1G09750.1	0	1	1	-0.341035752482262	-0.242159441040447	-0.172893105433362	17.9340953796069	17.9802101868215	18.0133631144265
AT1G09760.1	0.021	1	1	-1.05723385922315	-0.782540352148235	-0.474720561332583	16.1918864610326	16.3157780954445	16.4925971714924
AT1G09770.1	0	1	1	0.0326627414925659	0.185525199419177	0.361651729904044	16.8185180579993	16.8967832498595	16.9847006107129
AT1G09780.1	0	1	1	-0.00353696610616456	0.0577328004998662	0.131488011229398	15.7153108435655	15.7413621377593	15.7758973236029
AT1G10200.1	0.931	5.33469562894896e-194	1.0774179922038e-192	-1.22749350669763	-1.19770936594279	-1.17225867835775	18.0367955125455	18.0386702108911	18.0408695652197
AT1G10290.1	0	1	1	0.100697817809374	0.242390494297147	0.50617990879132	15.4746121442735	15.5477863867534	15.6727652219274
AT1G10580.1	0	1	1	-0.389714481717729	-0.316945353452413	-0.236799335931324	15.7342708847817	15.7657375993763	15.801918889319
AT1G10670.3	0	1	1	-0.132413523920243	-0.102629383165404	-0.0771786955803656	16.6807949227473	16.6826696210929	16.6848689754215
AT1G11580.2	0	1	1	-0.20793274297797	-0.0283867729397876	0.153530596006361	16.4875017311513	16.5765854171638	16.6696136156243
AT1G11650.2	0	1	1	0.0359416756353155	0.0657258163901547	0.0911765039751956	18.2230630892374	18.224937787583	18.2271371419115
AT1G11860.3	0	1	1	0.163821408392298	0.338687522151597	0.728460627474943	17.5692333567078	17.7652973679063	17.8484499334469
AT1G12000.1	0.129	1	1	-0.208739678776848	0.822335322607906	1.37556177418181	15.6100096204942	15.8670684882588	16.4194920491145
AT1G12270.1	0	1	1	-0.0936996921699455	0.0733482393257795	0.629201901550056	16.1342811572579	16.2176533864165	16.4926935093482
AT1G12360.1	0	1	1	-0.527830421002329	0.14512321095925	0.435247967620025	15.5810509358359	15.7247321706997	16.0608784983581
AT1G12470.1	0	1	1	-0.304938613020718	-0.204547955184781	-0.0571370696125325	15.5932835769461	15.6381474137911	15.7113243418306
AT1G12840.1	0	1	1	-0.502788819548263	-0.152740596333507	0.31368781112472	15.8814768259586	15.9951623333374	16.2743168986631
AT1G12900.5	0	1	1	0.899053026054768	0.928837166809609	0.954287854394648	17.0075896407998	17.0094643391454	17.0116636934739
AT1G12920.1	0	1	1	-0.459381543215905	-0.429597402461065	-0.404146714876027	17.4300466718272	17.4319213701728	17.4341207245014
AT1G13020.1	0	1	1	-0.0962854468851529	0.107540155055284	0.426435825771175	16.1739947737366	16.2713735640706	16.4314851380976
AT1G13190.1	0	1	1	-0.41107088952142	-0.290052536588381	-0.105544823531069	16.7642289186199	16.8222123233354	16.9130727537228
AT1G13320.1	0	1	1	-0.238481478963075	0.164164867132114	0.341359696800067	15.5551606694897	15.6413355833784	15.8483610291182
AT1G13440.1	0	1	1	0.352825616810091	0.382609757564928	0.408060445149967	18.987955109957	18.9898298083026	18.9920291626311
AT1G13930.1	0	1	1	-0.560259472280954	-0.13649769864451	0.275621563560013	16.8030755425884	17.001579037248	17.2067162819249
AT1G14320.1	0	1	1	-0.172055071037642	-0.0449914022938494	0.0340343716554703	16.97342871014	17.0128501103628	17.0748305970238
AT1G14570.1	0.804	3.05356433310515e-88	3.83731251193547e-87	-4.4212854259474	-2.72413100095441	-1.56127253822165	13.8949589690538	14.7523573713748	15.3271775570024
AT1G14610.1	0	1	1	-0.309878345668933	-0.00524655955933405	0.154466778522667	15.5448977618906	15.6160941676396	15.7687503029512
AT1G14650.1	0	1	1	0.0997335112002609	0.282807007667934	0.427704728653795	15.971840939728	16.0585984051555	16.1376405682281
