protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G07320.1	0.689571981729418	0.747428077778113	-0.64606809301575	0.209345284091172	1.33591558228467	16.8921806885117	17.1769252765873	17.6395143259056
AT1G07360.1	0.00757723040850184	0.112224938806364	2.7496119617425	4.26393486664233	5.23305267471701	16.5373390604733	17.0218979645107	17.7790594169606
AT1G07790.1	0.584257915705854	0.687268270380313	-0.692607328863348	0.726765885853191	2.69423359760241	15.4649047829489	16.1679814006338	16.9133132549272
AT1G08520.1	0.143748753644162	0.370947059188883	1.03159309641003	2.10751184309917	4.30301453244306	14.0500319874494	14.8946002740883	15.4427681916653
AT1G09270.1	0.0324548231786822	0.208862491101519	1.16890943858348	2.72542592280979	4.07541964355498	14.4635102562634	15.138507116636	15.9167653587492
AT1G09340.2	0.891483319402995	0.910888205996914	-0.159570801364247	-0.159570801364247	-0.159570801364247	19.3031224582411	19.3031224582411	19.3031224582411
AT1G09760.1	0.507477779469551	0.641786478631857	-2.55750507500513	-0.636631225558473	1.02834539121384	15.5103894224106	16.9417869061993	17.3163669237633
AT1G09770.1	0.00787543430220096	0.112224938806364	2.33855100073212	4.3017012679465	5.80942624411673	15.2381811161793	15.9920436042644	16.9736187378716
AT1G10200.1	0.0771068940064836	0.288236048546536	-0.168295822545173	2.44916714501664	3.6365726054515	13.6419272376747	14.2471221424745	15.1684875117664
AT1G10580.1	0.0291097766088738	0.205340018335836	1.91283559338133	3.54212445008629	6.31377979638196	14.4302321959586	15.8160598691064	16.6307042974589
AT1G11650.2	0.00369412812635231	0.103858335365836	4.33917344037665	5.66542032262427	7.62348381819997	16.7008996635049	17.6799314112928	18.3430548524166
AT1G11860.3	0.344570506412415	0.547743554018141	-1.14868127389632	-1.14868127389632	-1.14868127389632	18.4863664774316	18.4863664774316	18.4863664774316
AT1G12070.1	0.421544245115378	0.594670440012183	-2.13046471185444	-1.23100198249752	0.668721922970398	16.2390166627909	16.5332018617682	17.1023141911757
AT1G12900.5	0.30187881240358	0.515157874627491	-2.39304475764774	-1.56896512827844	-1.24642612846872	17.8365642574919	18.2486040721766	18.4098735720815
AT1G13030.1	0.288366992407774	0.507984238281244	-3.20028695930243	-0.977010833748993	0.894597101882283	14.4859526116439	15.1492600629941	15.5672726016313
AT1G13190.1	0.00738771921421413	0.112224938806364	2.88852286560848	4.36986695714586	5.37189749740528	15.8252122156381	16.3262274857678	17.0668995315365
AT1G13690.1	0.424687441307736	0.594670440012183	-1.82217123723932	-0.421394362409306	1.48846240970071	14.5474442461161	15.2785075524402	16.0521755891152
AT1G14320.1	0.0635400561008754	0.271430656482449	2.59622291677266	3.52264199811897	4.39005075625409	18.8474210636094	19.281125442677	19.7443349833501
AT1G14410.1	0.122240095618092	0.344691153014972	1.23092104439243	1.33915806209798	3.95336186591686	14.9276391259912	16.1966200993081	16.3720504191717
AT1G14510.1	0.0373798258482812	0.229454623284065	2.39970456491369	3.87239919388148	6.23193867605811	16.2605394746439	17.4403092157322	18.1766565302161
AT1G14650.1	0.110659340970242	0.329500574978557	1.86522890122818	2.53142046484878	3.80605441667327	15.9546382397572	16.5919552156694	16.9250509974797
AT1G14850.1	0.114062666858259	0.333908307905233	-0.266172530746777	2.05575950602245	3.75083653907829	14.2534594406278	14.7831389163816	15.6413687772686
AT1G15200.3	0.110053503114257	0.329500574978557	1.52743791317648	2.60350978995826	3.71438827752819	15.0906978616019	15.6461371053868	16.1841730437777
AT1G15340.1	0.147565002608186	0.376220038598507	-3.0310880310523	0.661402695165225	1.90173769855163	14.361939865679	15.2350872629555	15.821640910839
AT1G15750.1	0.0286950429303917	0.205340018335836	1.67273163232303	2.7665964618533	4.69711664593764	15.6503928199396	16.6156529119818	17.1625853267469
AT1G15820.1	0.429359735419822	0.59691475412024	-2.5129166566531	-0.830897473055074	0.661012097229431	16.0595813799629	16.9242324275585	17.1020510410616
AT1G16610.3	0.381296256929257	0.577370802712613	0.277414486746219	2.21383278986555	2.7799206721003	15.5800424562272	16.0246237278375	17.0825701065795
AT1G17070.1	0.261120679981882	0.483205754934279	-0.468204427419461	0.778588919904495	2.59958722566148	13.865066246567	14.8067209192211	15.8740815592
AT1G17370.1	0.0364346449045519	0.225386408014205	1.73987990516239	3.16312759621044	3.93519107249185	15.2604872060839	15.6465189442246	16.3581427897486
