protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G33140.1	0	1	1	-2.31985978790843	-1.06373167517308	0.165734660708405	17.1214597047953	17.738862340786	18.3409512486798
AT1G33590.2	0	1	1	-0.602599530621153	-0.0269548246769453	0.188922058319348	17.4527951821313	17.7391877199877	17.7963423436957
AT1G33600.1	0	1	1	-0.796441019147433	-0.0732924223424044	0.256009781545963	16.0871770569438	16.4342810752452	16.6429220297289
AT1G41830.1	0	1	1	-1.6247902836046	-0.659219697691057	-0.230043197334999	16.4148802805317	16.6351672856672	17.087051312297
AT1G42970.1	0	1	1	-0.0905983934591969	0.0675485273138001	0.240600025967053	19.6937509643755	19.7113333756815	19.7366495685404
AT1G43170.1	0	1	1	-0.705267501806906	-0.417137126415899	-0.20848219316826	16.3011375573367	16.3581489100672	16.5235782158146
AT1G44575.1	0	1	1	-0.820901282557646	-0.362711162226228	-0.0707637693408065	17.0919291518096	17.2196168578293	17.4227912962661
AT1G47128.1	0.123	1	1	1.94847708092865	4.45404381399229	8.25529330108608	12.3548333690863	14.241568974579	15.5191943119896
AT1G48030.1	0	1	1	-1.42056636103081	-0.741300157486686	-0.37379873639518	15.780804630271	16.1263062444128	16.3482396756384
AT1G48610.1	0	1	1	-1.08143355308399	-0.884110439865688	-0.667038619508292	16.7816831509573	16.8355669840295	16.9099723889587
AT1G49750.1	0	1	1	-2.51703927272962	-1.78669366641863	-1.3195614028951	17.0120427605653	17.3031881034052	17.6674629297541
AT1G50480.1	0	1	1	-1.3904558324454	-0.662459052130293	-0.0692909508175063	15.9336790727086	16.2952967027258	16.6096741081712
AT1G52100.1	0	1	1	-0.82893790304374	-0.353559284808603	0.0858296317906334	16.2322485703693	16.4469359513133	16.7063827181379
AT1G52400.1	0	1	1	0.221467200065987	0.584221512613089	0.805698293152722	16.6425551583951	16.7689957013735	16.9534577430751
AT1G53240.1	0	1	1	-1.43929269342599	-0.67784746016065	-0.248731338459578	16.0325537847953	16.3896455312615	16.6618029881745
AT1G54000.1	0.096	1	1	1.83131857667463	4.26580904660746	7.95714302144726	12.2300708935197	14.0234309135353	15.2161528993797
AT1G54010.1	0.06	1	1	-3.70548309981865	-2.74646811711031	-2.14133213149383	17.0004847952409	17.2905182217452	17.7790166708692
AT1G54270.1	0	1	1	0.258265346210699	0.416412266983696	0.589463765636949	18.7670964283506	18.7846788396565	18.8099950325154
AT1G55490.1	0	1	1	-1.76402724454933	-0.445465051396547	-0.0605011450006793	16.1291283777423	16.4854954182295	17.1731154139587
AT1G56070.1	0	1	1	0.453302172064074	0.903966111146052	1.1715700930073	16.8009606027289	16.9142469304926	17.1538787946866
AT1G58270.1	0	1	1	-3.10107741617698	-2.03402935264479	-0.351869601167174	16.9006204444354	17.7053972931814	18.2201549296885
AT1G61010.1	0.14	1	1	1.64019343307065	4.17772514434527	7.9314028202282	12.1978167330395	14.0786304641972	15.3324956368857
